Time,Talign,B,Location,Source,Dataset ,Notes,Species,Interval,Relative,DensityCon,Full_census,Census_keep,Census_notes,Time_collected,Dead_trees
1740,1740,0.25,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1750,1750,0.25,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1760,1760,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1770,1770,0.67857143,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1780,1780,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1790,1790,0.67857143,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1800,1800,0.82142857,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1810,1810,0,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1820,1820,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1830,1830,0.25,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1840,1840,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1850,1850,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1860,1860,0.46428571,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1870,1870,0.35714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1880,1880,1.14285714,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1890,1890,1.60714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1900,1900,2.60714286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1910,1910,2.03571429,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1920,1920,3.82142857,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1930,1930,5.75,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1940,1940,9.75,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1950,1950,13.6785714,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1960,1960,12,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1970,1970,9.89285714,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1980,1980,9.75,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1990,1990,10.3214286,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
2000,2000,9,"East Tintic, UT",Miller et al 2008 RMRS ,2,mixed age stands,PiMo-JuOs,10,1,95.2,y,n,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1640,1640,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1650,1650,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1660,1660,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1670,1670,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1680,1680,0,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1690,1690,0,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1700,1700,0,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1710,1710,0,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1720,1720,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1730,1730,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1740,1740,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1750,1750,0.256959315,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1760,1760,0.256959315,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1770,1770,0.256959315,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1780,1780,0.160599572,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1790,1790,0.385438972,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1800,1800,0.256959315,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1810,1810,0.706638116,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1820,1820,0.706638116,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1830,1830,1.349036403,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1840,1840,1.573875803,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1850,1850,1.830835118,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1860,1860,2.473233405,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1870,1870,3.244111349,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1880,1880,4.65738758,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1890,1890,6.552462527,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1900,1900,8.993576017,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1910,1910,11.08137045,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
1920,1920,13.84368308,"Juniper Mountain, ID",Miller et al 2008 RMRS ,3,mixed age stands,JuOc,10,1,50.2,y,y,"trees larger than 6cm basal diameter cored, trees smaller cross sections collected. Estab values in percent (rather than proportion so density coversion is total #/10",2001,n
